Point ID,Points_0,Points_1,Points_2,Points_Magnitude,Scalars_
10909,127.5,157,84,219.001,1126
10912,127.5,160,84,221.161,1402
10915,127.5,163,84,223.341,1833
11161,127.5,153,86,216.936,1080
11174,127.5,166,86,226.292,1913
11178,127.5,170,86,229.243,2111
11414,127.5,150,88,215.639,1095
11439,127.5,175,88,233.72,2350
11667,127.5,147,90,214.395,1045
11701,127.5,181,90,238.992,2290
11919,127.5,143,92,212.531,1049
11960,127.5,184,92,242.025,1975
12171,127.5,139,94,210.745,992
12218,127.5,186,94,244.312,1840
12424,127.5,136,96,209.686,975
12476,127.5,188,96,246.61,1867
12675,127.5,131,98,207.416,783
12928,127.5,128,100,206.495,403
12990,127.5,190,100,249.712,1886
13182,127.5,126,102,206.243,267
13436,127.5,124,104,206.03,195
13504,127.5,192,104,252.856,1605
14018,127.5,194,108,256.04,1746
14532,127.5,196,112,259.261,1984
15301,127.5,197,118,262.658,1461
15815,127.5,199,122,265.972,1366
16585,127.5,201,128,270.261,2031
